County,Highest Pollutant,Highest Pollutant Value
McCreary,O3,7541.17
McLean C,O3,7185.66
Madison,O3,4820.97
Magoffin,O3,5451.19
Marion C,O3,5348.72
Marshall,O3,5847.56
Martin C,O3,5745.54
Mason Co,O3,5064.94
Meade Co,O3,6592.0
Menifee,O3,5123.86
Mercer C,O3,4947.06
Metcalfe,O3,8093.27
Monroe C,O3,9268.64
Montgome,O3,4901.45
Morgan C,O3,5378.1
Muhlenbe,O3,7734.61
Nelson C,O3,5375.68
Nicholas,O3,4987.69
Ohio Cou,O3,9487.32
Oldham C,O3,5024.31
Owen Cou,O3,4783.59
Owsley C,O3,5133.13
Pendleto,O3,4722.04
Perry Co,O3,6471.49
Pike Cou,O3,5566.92
Powell C,O3,4963.3
Pulaski,O3,5475.29
Robertso,O3,4962.2
Rockcast,O3,5063.4
Rowan Co,O3,5290.79
Russell,O3,6638.14
Scott Co,O3,5140.33
Shelby C,O3,4835.57
Simpson,O3,9269.86
Spencer,O3,5059.21
Taylor C,O3,5911.38
Todd Cou,O3,8715.38
Trigg Co,O3,6703.09
Trimble,O3,4851.34
Union Co,O3,5142.63
Warren C,O3,12642.57
Washingt,O3,5055.71
Wayne Co,O3,6906.33
Webster,O3,5354.53
Whitley,O3,6396.6
Wolfe Co,O3,5145.32
Woodford,O3,5046.59
Acadia P,O3,2358.25
Allen Pa,O3,2370.21
Ascensio,O3,3062.8
Assumpti,O3,3250.21
Avoyelle,O3,3006.1
Beaurega,O3,2661.1
Bienvill,O3,2223.53
Bossier,O3,2442.69
Caddo Pa,O3,3712.74
Calcasie,O3,2965.84
Caldwell,O3,3251.15
Cameron,O3,2565.85
Catahoul,O3,3658.03
Claiborn,O3,1863.76
Concordi,O3,4108.87
De Soto,O3,3148.79
East Bat,O3,2897.75
East Car,O3,3640.87
East Fel,O3,2706.79
Evangeli,O3,2548.27
Franklin,O3,3856.98
Grant Pa,O3,2801.49
Iberia P,O3,2242.36
Ibervill,O3,2992.0
Jackson,O3,2573.24
Jefferso,O3,4420.14
Jefferso,O3,2308.45
Lafayett,O3,2983.74
Lafourch,O3,2436.39
La Salle,O3,3192.24
Lincoln,O3,2141.1
Livingst,O3,2874.62
Madison,O3,4321.92
Morehous,O3,2717.78
Natchito,O3,2421.07
Orleans,O3,4791.49
Ouachita,O3,3117.81
Plaquemi,O3,1608.97
Pointe C,O3,2951.83
Rapides,O3,2733.28
Red Rive,O3,2563.37
Richland,O3,3526.63
Sabine P,O3,2609.6
St. Bern,O3,3749.81
St. Char,O3,5103.79
St. Hele,O3,2140.71
St. Jame,NO2,8661.62663
St. John,O3,3690.73
St. Land,O3,2842.66
St. Mart,O3,2680.82
St. Tamm,O3,4486.32
Tangipah,O3,2320.87
Tensas P,O3,4475.53
Terrebon,O3,1731.73
Union Pa,O3,2063.99
Vermilio,O3,1863.49
Vernon P,O3,2516.61
Washingt,O3,2235.85
Webster,O3,2012.11
West Bat,O3,3058.26
West Car,O3,3258.7
West Fel,O3,3088.07
Winn Par,O3,2559.73
Androsco,O3,9063.12
