County,Highest Parts Per Million Value,Highest Parts Per Million
Montgome,12.17,PM10
Morgan C,12.87,PM2.5
Muhlenbe,12.41,PM2.5
Nelson C,14.04,PM10
Nicholas,11.25,PM2.5
Ohio Cou,13.21,PM10
Oldham C,14.5,PM10
Owen Cou,11.14,PM10
Owsley C,13.96,PM10
Pendleto,11.87,PM10
Perry Co,22.11,PM10
Pike Cou,16.0,PM10
Powell C,12.97,PM10
Pulaski,16.84,PM10
Robertso,11.12,PM2.5
Rockcast,15.01,PM10
Rowan Co,11.91,PM2.5
Russell,12.34,PM2.5
Scott Co,14.22,PM10
Shelby C,12.4,PM10
Simpson,12.12,PM2.5
Spencer,13.8,PM10
Taylor C,12.53,PM2.5
Todd Cou,12.64,PM10
Trigg Co,11.9,PM10
Trimble,11.59,PM10
Union Co,12.2,PM10
Warren C,14.01,PM2.5
Washingt,12.3,PM10
Wayne Co,12.87,PM2.5
Webster,12.49,PM10
Whitley,16.33,PM10
Wolfe Co,12.55,PM10
Woodford,15.35,PM10
Acadia P,9.85,PM2.5
Allen Pa,10.07,PM2.5
Ascensio,12.72,PM10
Assumpti,9.7,PM10
Avoyelle,10.22,PM2.5
Beaurega,9.98,PM2.5
Bienvill,10.94,PM2.5
Bossier,11.79,PM10
Caddo Pa,15.07,PM10
Calcasie,9.99,PM2.5
Caldwell,10.35,PM2.5
Cameron,9.58,PM2.5
Catahoul,10.26,PM2.5
Claiborn,10.92,PM2.5
Concordi,10.25,PM2.5
